title,artist.hotttnesss,artist.id,artist.name,duration,familiarity,latitude,longitude,loudness,release.id,release.name,similar,song.hotttnesss,song.id,tempo,terms,year
Through The Wire,1.082502557,ARRH63Y1187FB47783,Kanye West,271.25506,0.877213746,37.15735675,-63.93335787,-5.227,30801,Through The Wire,ARM6HLK1187FB427F0,,SOGWZBN12A6D4F6AB2,166.037,hip hop,2003
Street Lights,1.082502557,ARRH63Y1187FB47783,Kanye West,189.962,0.877213746,37.15735675,-63.93335787,-9.644,418092,808s & Heartbreak,ARM6HLK1187FB427F0,0.814517241,SOJMUAN12AB0183911,125.593,hip hop,2008
Skit #2 (Kanye West/Late Registration),1.082502557,ARRH63Y1187FB47783,Kanye West,31.32036,0.877213746,37.15735675,-63.93335787,-12.368,220921,Late Registration,ARM6HLK1187FB427F0,0.7801197,SOLAWQF12A58A7B176,60.046,hip hop,2005
School Spirit Skit 2,1.082502557,ARRH63Y1187FB47783,Kanye West,46.602,0.877213746,37.15735675,-63.93335787,-13.928,2277,The College Dropout,ARM6HLK1187FB427F0,,SOODJPE12AB01815F8,201.792,hip hop,2003
Skit #2 (Kanye West/Late Registration),1.082502557,ARRH63Y1187FB47783,Kanye West,31.37261,0.877213746,37.15735675,-63.93335787,-12.352,15270,Late Registration,ARM6HLK1187FB427F0,,SOVHPUY12A67020A44,60.276,hip hop,2005
Diamonds From Sierra Leone,1.082502557,ARRH63Y1187FB47783,Kanye West,247.64036,0.877213746,37.15735675,-63.93335787,-5.597,47750,Late Orchestration,ARM6HLK1187FB427F0,,SOQMFYZ12A6D4F9C4A,81.53,hip hop,2005
Heard 'Em Say,1.082502557,ARRH63Y1187FB47783,Kanye West / Adam Levine,204.5122,0.877213746,37.15735675,-63.93335787,-11.38,297735,Heard 'Em Say,ARM6HLK1187FB427F0,,SOCVLYM12A8C13A799,95.098,hip hop,2005
Gone,1.082502557,ARRH63Y1187FB47783,Kanye West / Consequence / Cam'Ron,333.34812,0.877213746,37.15735675,-63.93335787,-6.029,15270,Late Registration,ARM6HLK1187FB427F0,,SORUAXY12A67020A4B,114.39,hip hop,2005
Touch The Sky,1.082502557,ARRH63Y1187FB47783,Kanye West / Lupe Fiasco,236.72118,0.877213746,37.15735675,-63.93335787,-5.263,351707,Touch The Sky,ARM6HLK1187FB427F0,,SOJKTJG12AB0182516,106.825,hip hop,2010
Da Funk,1.021255588,ARF8HTQ1187B9AE693,Daft Punk,329.53424,0.90284076,37.15735675,-63.93335787,-5.019,28815,Homework,AR3NPVS1187FB5108F,0.8622545,SONJBQX12A6D4F8382,111.201,techno,1995
Let's Get It Started,1.005941966,ARTDQRC1187FB4EFD4,Black Eyed Peas,229.61587,0.845601887,37.15735675,-63.93335787,-4.882,358442,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,ARV4KO21187FB38008,0.624425493,SOCHRXB12A8AE48069,105.206,hip hop,2004
Let's Get It Started,1.005941966,ARTDQRC1187FB4EFD4,Black Eyed Peas,223.03302,0.845601887,37.15735675,-63.93335787,-5.939,673805,Kids Sing Along Pac,ARV4KO21187FB38008,,SOGBUUF12AB018B87E,107.199,hip hop,2004
Tell Your Momma Come,1.005941966,ARTDQRC1187FB4EFD4,Black Eyed Peas,196.362,0.845601887,37.15735675,-63.93335787,-5.065,13919,Bridging The Gap,ARV4KO21187FB38008,,SOCMYLF12A67020A4D,204.304,hip hop,2000
On My Own,1.005941966,ARTDQRC1187FB4EFD4,Black Eyed Peas / Les Nubians / Mos Def,235.10159,0.845601887,37.15735675,-63.93335787,-6.618,13919,Bridging The Gap,ARV4KO21187FB38008,,SOQOXXW12AF729F20B,94.993,hip hop,2000
Magic,1.005941966,ARTDQRC1187FB4EFD4,Black Eyed Peas / Terry Dexter,275.04281,0.845601887,37.15735675,-63.93335787,-3.574,15589,Legally Blonde,ARV4KO21187FB38008,0.508602172,SOYGIBP12A67020AF7,103.652,hip hop,2000
The Way I Loved You,0.922412443,ARS54I31187FB46721,Taylor Swift,245.36771,0.88974922,37.15735675,-63.93335787,-4.536,382330,Fearless,AR23BO81187FB47087,0.853828893,SOTNWCI12AAF3B2028,160.786,country,2008
One I Love,0.916053228,ARJ7KF01187B98D717,Coldplay,274.41587,0.865021512,37.15735675,-63.93335787,-7.446,307,In My Place,ARSPUJF1187B9A14B8,0.810263613,SOEHTZE12A6310F0F2,134.027,piano rock,2002
Don't Panic,0.916053228,ARJ7KF01187B98D717,Coldplay,139.12771,0.865021512,37.15735675,-63.93335787,-8.501,555120,Don't Panic,ARSPUJF1187B9A14B8,0.781932171,SOUCKDH12A8C138FF5,122.291,piano rock,1999
A Rush Of Blood To The Head (Live In Sydney),0.916053228,ARJ7KF01187B98D717,Coldplay,410.8273,0.865021512,37.15735675,-63.93335787,-8.229,316,Live 2003,ARSPUJF1187B9A14B8,0.564934173,SOIGKCB12A6310F113,138.038,piano rock,2003
Speed Of Sound (Live),0.916053228,ARJ7KF01187B98D717,Coldplay,285.04771,0.865021512,37.15735675,-63.93335787,-5.367,11486,Speed Of Sound,ARSPUJF1187B9A14B8,0.454042766,SOSHUVD12A6701F8F9,122.94,piano rock,2005
The World Turned Upside Down,0.916053228,ARJ7KF01187B98D717,Coldplay,269.34812,0.865021512,37.15735675,-63.93335787,-6.294,17388,Fix You,ARSPUJF1187B9A14B8,0.701266353,SOPMAEU12A67AE0C81,136.82,piano rock,2005
Things I Don't Understand,0.916053228,ARJ7KF01187B98D717,Coldplay,295.67955,0.865021512,37.15735675,-63.93335787,-6.473,11309,Speed Of Sound,ARSPUJF1187B9A14B8,0.651171124,SOPTYJX12A6701CDC6,137.008,piano rock,2005
Don't Stop The Music,0.908202619,ARKU3Z61187FB51DCA,Rihanna,283.8722,0.917863906,13.11199,-59.59895,-4.465,687382,Just Dance,ARTDQRC1187FB4EFD4,,SOMTXLN12AB018977B,128.092,dance pop,2007
Good Girl Gone Bad,0.908202619,ARKU3Z61187FB51DCA,Rihanna,208.16934,0.917698884,13.11199,-59.59895,-5.704,371487,Good Girl Gone Bad: The Remixes,ARTDQRC1187FB4EFD4,,SOKKXUI12A58A7A79C,128.077,dance pop,2007
Music Of The Sun,0.908202619,ARKU3Z61187FB51DCA,Rihanna,235.98975,0.917863906,13.11199,-59.59895,-8.298,15269,Music Of The Sun,ARTDQRC1187FB4EFD4,0.668601101,SONQNPM12A67020A32,85.976,dance pop,2005
SOS,0.908202619,ARKU3Z61187FB51DCA,Rihanna,244.50567,0.917863906,13.11199,-59.59895,-3.925,422785,SOS,ARTDQRC1187FB4EFD4,,SOAOPVN12AAF3B1856,139.304,dance pop,2006
The Hotness (ft. Shontelle),0.908202619,ARKU3Z61187FB51DCA,Rihanna,190.4322,0.917863906,13.11199,-59.59895,-8.464,816734,Save The Last Dance 2 Soundtrack,ARTDQRC1187FB4EFD4,0.470792085,SORDUJI12AB0183D3F,116.012,dance pop,0
We Ride,0.908202619,ARKU3Z61187FB51DCA,Rihanna,237.87057,0.917863906,13.11199,-59.59895,-6.131,309474,We Ride,ARTDQRC1187FB4EFD4,,SOVVDVO12A8C14215D,99.989,dance pop,2006
Breakin' Dishes,0.908202619,ARKU3Z61187FB51DCA,Rihanna,199.6273,0.917863906,13.11199,-59.59895,-6.194,371487,Good Girl Gone Bad: The Remixes,ARTDQRC1187FB4EFD4,,SOPDFZR12AB018875F,127.908,dance pop,2007
Good Girl Gone Bad,0.908202619,ARKU3Z61187FB51DCA,Rihanna,213.26322,0.917863906,13.11199,-59.59895,-6.146,265313,Good Girl Gone Bad: Reloaded,ARTDQRC1187FB4EFD4,0.705148005,SOKZTHA12A8C134830,94.987,dance pop,2007
Paul,0.879236745,ARTH9041187FB43E1F,Eminem,13.58322,0.871010615,37.15735675,-63.93335787,-24.997,47319,The Marshall Mathers LP,AR23C041187FB4D534,,SOWOYGM12A6D4FB4C1,120.765,hip hop,1999
Just Don't Give A Fuck,0.879236745,ARTH9041187FB43E1F,Eminem,242.62485,0.871010615,37.15735675,-63.93335787,-2.198,14297,The Slim Shady LP,AR23C041187FB4D534,0.74302504,SOGRSAV12A6701FBBD,90.18,hip hop,1998
Why U Mad At Me (Explicit Screwed Version),0.872838921,ARBS1OC1187FB44CAF,T.I.,258.92526,0.842673051,37.15735675,-63.93335787,-5.81,217681,Urban Legend,ARZDJSR1269FCD3C3B,,SOMJFYS12A8C13E24C,148.877,gangster rap,2004
Respect This Hustle (Explicit Album Version),0.872838921,ARBS1OC1187FB44CAF,T.I.,266.84036,0.842673051,37.15735675,-63.93335787,-4.919,112167,T.I. VS T.I.P.,ARZDJSR1269FCD3C3B,0.614747884,SOHADGT12A8C13C740,87.525,gangster rap,0
Should've Said No,0.872447223,ARS54I31187FB46721,Taylor Swift,245.78567,0.88974922,37.15735675,-63.93335787,-4.954,382330,Fearless,AR23BO81187FB47087,,SOVCFPI12AAF3B2045,167.97,country,2006
I'll Show You Love,0.854637828,ARPDVPJ1187B9ADBE9,Usher,283.89832,0.856448924,37.15735675,-63.93335787,-7.275,418240,Usher,ARAWOLW1187FB3AB70,0.419125893,SOKUBQW12AF72AC4E2,90.199,hip hop,1994
Trading Places,0.854637828,ARPDVPJ1187B9ADBE9,Usher,286.77179,0.856448924,37.15735675,-63.93335787,-4.04,611118,Dance Workout Classics; Keep Fit With The Hottest Hits & Remixes,ARAWOLW1187FB3AB70,,SOUVKXW12A8C1427AC,147.979,hip hop,2008
I Need Love,0.854637828,ARPDVPJ1187B9ADBE9,Usher,32.41751,0.856448924,37.15735675,-63.93335787,-14.434,294868,Live,ARAWOLW1187FB3AB70,,SOBJJEX12A8C13ACDC,118.237,hip hop,1999
Hey Daddy (Daddy's Home),0.854637828,ARPDVPJ1187B9ADBE9,Usher,224.10404,0.856448924,37.15735675,-63.93335787,-4.328,763964,Raymond v Raymond,ARAWOLW1187FB3AB70,0.785679587,SOLZOBD12AB0185720,95.998,hip hop,2010
Chivalry,0.854637828,ARPDVPJ1187B9ADBE9,Usher featuring Jermaine Dupri,246.09914,0.856448924,37.15735675,-63.93335787,-6.708,545913,Here I Stand (Deluxe Version),ARAWOLW1187FB3AB70,,SOYEDIE12A8C142C36,127.911,hip hop,0
